keyword,type,date,index
['东风汽车'],all,2017-09-26,2230
['东风汽车'],all,2017-09-27,2154
['东风汽车'],all,2017-09-28,2361
['东风汽车'],all,2017-09-29,2307
['东风汽车'],all,2017-09-30,1723
['东风汽车'],all,2017-10-01,1620
['东风汽车'],all,2017-10-02,1535
['东风汽车'],all,2017-10-03,1656
['东风汽车'],all,2017-10-04,1459
['东风汽车'],all,2017-10-05,1753
['东风汽车'],all,2017-10-06,1708
['东风汽车'],all,2017-10-07,1621
['东风汽车'],all,2017-10-08,1938
['东风汽车'],all,2017-10-09,2980
['东风汽车'],all,2017-10-10,2645
['东风汽车'],all,2017-10-11,2298
['东风汽车'],all,2017-10-12,2468
['东风汽车'],all,2017-10-13,2284
['东风汽车'],all,2017-10-14,1589
['东风汽车'],all,2017-10-15,1708
['东风汽车'],all,2017-10-16,2572
['东风汽车'],all,2017-10-17,2256
['东风汽车'],all,2017-10-18,1982
['东风汽车'],all,2017-10-19,1992
['东风汽车'],all,2017-10-20,1919
['东风汽车'],all,2017-10-21,1501
['东风汽车'],all,2017-10-22,1690
['东风汽车'],all,2017-10-23,2076
['东风汽车'],all,2017-10-24,2009
['东风汽车'],all,2017-10-25,1920
['东风汽车'],all,2017-10-26,2007
['东风汽车'],all,2017-10-27,1833
['东风汽车'],all,2017-10-28,1409
['东风汽车'],pc,2017-01-01,312
['东风汽车'],pc,2017-01-02,336
['东风汽车'],pc,2017-01-03,843
['东风汽车'],pc,2017-01-04,868
['东风汽车'],pc,2017-01-05,834
['东风汽车'],pc,2017-01-06,844
['东风汽车'],pc,2017-01-07,399
['东风汽车'],pc,2017-01-08,411
['东风汽车'],pc,2017-01-09,704
['东风汽车'],pc,2017-01-10,743
['东风汽车'],pc,2017-01-11,696
['东风汽车'],pc,2017-01-12,628
['东风汽车'],pc,2017-01-13,673
['东风汽车'],pc,2017-01-14,360
['东风汽车'],pc,2017-01-15,304
['东风汽车'],pc,2017-01-16,751
['东风汽车'],pc,2017-01-17,729
['东风汽车'],pc,2017-01-18,597
['东风汽车'],pc,2017-01-19,524
['东风汽车'],pc,2017-01-20,555
['东风汽车'],pc,2017-01-21,276
['东风汽车'],pc,2017-01-22,442
['东风汽车'],pc,2017-01-23,509
['东风汽车'],pc,2017-01-24,479
['东风汽车'],pc,2017-01-25,327
['东风汽车'],pc,2017-01-26,257
['东风汽车'],pc,2017-01-27,162
['东风汽车'],pc,2017-01-28,223
['东风汽车'],pc,2017-01-29,195
['东风汽车'],pc,2017-01-30,204
['东风汽车'],pc,2017-01-31,274
['东风汽车'],pc,2017-02-01,233
['东风汽车'],pc,2017-02-02,360
['东风汽车'],pc,2017-02-03,529
['东风汽车'],pc,2017-02-04,518
['东风汽车'],pc,2017-02-05,420
['东风汽车'],pc,2017-02-06,834
['东风汽车'],pc,2017-02-07,888
['东风汽车'],pc,2017-02-08,853
['东风汽车'],pc,2017-02-09,822
['东风汽车'],pc,2017-02-10,819
['东风汽车'],pc,2017-02-11,400
['东风汽车'],pc,2017-02-12,377
['东风汽车'],pc,2017-02-13,831
['东风汽车'],pc,2017-02-14,757
['东风汽车'],pc,2017-02-15,852
['东风汽车'],pc,2017-02-16,846
['东风汽车'],pc,2017-02-17,885
['东风汽车'],pc,2017-02-18,437
['东风汽车'],pc,2017-02-19,484
['东风汽车'],pc,2017-02-20,948
['东风汽车'],pc,2017-02-21,902
['东风汽车'],pc,2017-02-22,932
['东风汽车'],pc,2017-02-23,853
['东风汽车'],pc,2017-02-24,791
['东风汽车'],pc,2017-02-25,448
['东风汽车'],pc,2017-02-26,412
['东风汽车'],pc,2017-02-27,855
['东风汽车'],pc,2017-02-28,811
['东风汽车'],pc,2017-03-01,883
['东风汽车'],pc,2017-03-02,845
['东风汽车'],pc,2017-03-03,881
['东风汽车'],pc,2017-03-04,516
['东风汽车'],pc,2017-03-05,408
['东风汽车'],pc,2017-03-06,848
['东风汽车'],pc,2017-03-07,845
['东风汽车'],pc,2017-03-08,843
['东风汽车'],pc,2017-03-09,867
['东风汽车'],pc,2017-03-10,791
['东风汽车'],pc,2017-03-11,411
['东风汽车'],pc,2017-03-12,397
['东风汽车'],pc,2017-03-13,854
['东风汽车'],pc,2017-03-14,856
['东风汽车'],pc,2017-03-15,777
['东风汽车'],pc,2017-03-16,839
['东风汽车'],pc,2017-03-17,761
['东风汽车'],pc,2017-03-18,414
['东风汽车'],pc,2017-03-19,468
['东风汽车'],pc,2017-03-20,834
['东风汽车'],pc,2017-03-21,802
['东风汽车'],pc,2017-03-22,760
['东风汽车'],pc,2017-03-23,772
['东风汽车'],pc,2017-03-24,777
['东风汽车'],pc,2017-03-25,392
['东风汽车'],pc,2017-03-26,363
['东风汽车'],pc,2017-03-27,789
['东风汽车'],pc,2017-03-28,765
['东风汽车'],pc,2017-03-29,707
['东风汽车'],pc,2017-03-30,806
['东风汽车'],pc,2017-03-31,817
['东风汽车'],pc,2017-04-01,555
['东风汽车'],pc,2017-04-02,307
['东风汽车'],pc,2017-04-03,321
['东风汽车'],pc,2017-04-04,381
['东风汽车'],pc,2017-04-05,948
['东风汽车'],pc,2017-04-06,894
['东风汽车'],pc,2017-04-07,897
['东风汽车'],pc,2017-04-08,443
['东风汽车'],pc,2017-04-09,375
['东风汽车'],pc,2017-04-10,866
['东风汽车'],pc,2017-04-11,857
['东风汽车'],pc,2017-04-12,661
['东风汽车'],pc,2017-04-13,806
['东风汽车'],pc,2017-04-14,661
['东风汽车'],pc,2017-04-15,352
['东风汽车'],pc,2017-04-16,385
['东风汽车'],pc,2017-04-17,740
['东风汽车'],pc,2017-04-18,806
['东风汽车'],pc,2017-04-19,849
['东风汽车'],pc,2017-04-20,788
['东风汽车'],pc,2017-04-21,673
['东风汽车'],pc,2017-04-22,363
['东风汽车'],pc,2017-04-23,330
['东风汽车'],pc,2017-04-24,749
['东风汽车'],pc,2017-04-25,765
['东风汽车'],pc,2017-04-26,747
['东风汽车'],pc,2017-04-27,747
['东风汽车'],pc,2017-04-28,805
['东风汽车'],pc,2017-04-29,329
['东风汽车'],pc,2017-04-30,298
['东风汽车'],pc,2017-05-01,367
['东风汽车'],pc,2017-05-02,796
['东风汽车'],pc,2017-05-03,848
['东风汽车'],pc,2017-05-04,727
['东风汽车'],pc,2017-05-05,679
['东风汽车'],pc,2017-05-06,380
['东风汽车'],pc,2017-05-07,417
['东风汽车'],pc,2017-05-08,844
['东风汽车'],pc,2017-05-09,823
['东风汽车'],pc,2017-05-10,755
['东风汽车'],pc,2017-05-11,865
['东风汽车'],pc,2017-05-12,786
['东风汽车'],pc,2017-05-13,352
['东风汽车'],pc,2017-05-14,344
['东风汽车'],pc,2017-05-15,665
['东风汽车'],pc,2017-05-16,673
['东风汽车'],pc,2017-05-17,628
['东风汽车'],pc,2017-05-18,735
['东风汽车'],pc,2017-05-19,768
['东风汽车'],pc,2017-05-20,336
['东风汽车'],pc,2017-05-21,360
['东风汽车'],pc,2017-05-22,692
['东风汽车'],pc,2017-05-23,707
['东风汽车'],pc,2017-05-24,723
['东风汽车'],pc,2017-05-25,706
['东风汽车'],pc,2017-05-26,640
['东风汽车'],pc,2017-05-27,529
['东风汽车'],pc,2017-05-28,318
['东风汽车'],pc,2017-05-29,326
['东风汽车'],pc,2017-05-30,329
['东风汽车'],pc,2017-05-31,699
['东风汽车'],pc,2017-06-01,679
['东风汽车'],pc,2017-06-02,648
['东风汽车'],pc,2017-06-03,327
['东风汽车'],pc,2017-06-04,350
['东风汽车'],pc,2017-06-05,791
['东风汽车'],pc,2017-06-06,734
['东风汽车'],pc,2017-06-07,715
['东风汽车'],pc,2017-06-08,746
['东风汽车'],pc,2017-06-09,671
['东风汽车'],pc,2017-06-10,386
['东风汽车'],pc,2017-06-11,366
['东风汽车'],pc,2017-06-12,747
['东风汽车'],pc,2017-06-13,894
['东风汽车'],pc,2017-06-14,868
['东风汽车'],pc,2017-06-15,765
['东风汽车'],pc,2017-06-16,630
['东风汽车'],pc,2017-06-17,400
['东风汽车'],pc,2017-06-18,366
['东风汽车'],pc,2017-06-19,716
['东风汽车'],pc,2017-06-20,684
['东风汽车'],pc,2017-06-21,712
['东风汽车'],pc,2017-06-22,625
['东风汽车'],pc,2017-06-23,647
['东风汽车'],pc,2017-06-24,285
['东风汽车'],pc,2017-06-25,301
['东风汽车'],pc,2017-06-26,676
['东风汽车'],pc,2017-06-27,603
['东风汽车'],pc,2017-06-28,605
['东风汽车'],pc,2017-06-29,730
['东风汽车'],pc,2017-06-30,515
['东风汽车'],pc,2017-07-01,336
['东风汽车'],pc,2017-07-02,310
['东风汽车'],pc,2017-07-03,639
['东风汽车'],pc,2017-07-04,653
['东风汽车'],pc,2017-07-05,647
['东风汽车'],pc,2017-07-06,611
['东风汽车'],pc,2017-07-07,698
['东风汽车'],pc,2017-07-08,302
['东风汽车'],pc,2017-07-09,321
['东风汽车'],pc,2017-07-10,650
['东风汽车'],pc,2017-07-11,614
['东风汽车'],pc,2017-07-12,673
['东风汽车'],pc,2017-07-13,634
['东风汽车'],pc,2017-07-14,783
['东风汽车'],pc,2017-07-15,335
